"year","value","state","item","units","base"
1980,46.13855,"MO","Total Personal Income","Billion Dollars","Nominal"
1981,51.47975,"MO","Total Personal Income","Billion Dollars","Nominal"
1982,55.043825,"MO","Total Personal Income","Billion Dollars","Nominal"
1983,58.7769,"MO","Total Personal Income","Billion Dollars","Nominal"
1984,65.104975,"MO","Total Personal Income","Billion Dollars","Nominal"
1985,69.70405,"MO","Total Personal Income","Billion Dollars","Nominal"
1986,73.37915,"MO","Total Personal Income","Billion Dollars","Nominal"
1987,77.025475,"MO","Total Personal Income","Billion Dollars","Nominal"
1988,82.05715,"MO","Total Personal Income","Billion Dollars","Nominal"
1989,87.94175,"MO","Total Personal Income","Billion Dollars","Nominal"
1990,91.89655,"MO","Total Personal Income","Billion Dollars","Nominal"
1991,96.075025,"MO","Total Personal Income","Billion Dollars","Nominal"
1992,102.07805,"MO","Total Personal Income","Billion Dollars","Nominal"
1993,106.7234,"MO","Total Personal Income","Billion Dollars","Nominal"
1994,113.256625,"MO","Total Personal Income","Billion Dollars","Nominal"
1995,119.3998,"MO","Total Personal Income","Billion Dollars","Nominal"
1996,126.39415,"MO","Total Personal Income","Billion Dollars","Nominal"
1997,134.117825,"MO","Total Personal Income","Billion Dollars","Nominal"
1998,140.839675,"MO","Total Personal Income","Billion Dollars","Nominal"
1999,146.17245,"MO","Total Personal Income","Billion Dollars","Nominal"
2000,156.202125,"MO","Total Personal Income","Billion Dollars","Nominal"
2001,161.5312,"MO","Total Personal Income","Billion Dollars","Nominal"
2002,165.3898,"MO","Total Personal Income","Billion Dollars","Nominal"
2003,171.5932,"MO","Total Personal Income","Billion Dollars","Nominal"
2004,180.453775,"MO","Total Personal Income","Billion Dollars","Nominal"
2005,186.7709,"MO","Total Personal Income","Billion Dollars","Nominal"
2006,197.8341,"MO","Total Personal Income","Billion Dollars","Nominal"
2007,207.411325,"MO","Total Personal Income","Billion Dollars","Nominal"
2008,219.921975,"MO","Total Personal Income","Billion Dollars","Nominal"
2009,216.42445,"MO","Total Personal Income","Billion Dollars","Nominal"
2010,221.7602,"MO","Total Personal Income","Billion Dollars","Nominal"
2011,230.8583,"MO","Total Personal Income","Billion Dollars","Nominal"
2012,240.96775,"MO","Total Personal Income","Billion Dollars","Nominal"
2013,242.493,"MO","Total Personal Income","Billion Dollars","Nominal"
2014,250.783725,"MO","Total Personal Income","Billion Dollars","Nominal"
2015,259.35,"MO","Total Personal Income","Billion Dollars","Nominal"
2016,267.048575,"MO","Total Personal Income","Billion Dollars","Nominal"
2017,273.7742,"MO","Total Personal Income","Billion Dollars","Nominal"
2018,286.0843,"MO","Total Personal Income","Billion Dollars","Nominal"
2019,297.49255,"MO","Total Personal Income","Billion Dollars","Nominal"
2020,320.9245,"MO","Total Personal Income","Billion Dollars","Nominal"
2021,349.4828,"MO","Total Personal Income","Billion Dollars","Nominal"
2022,364.49905,"MO","Total Personal Income","Billion Dollars","Nominal"
2023,387.904725,"MO","Total Personal Income","Billion Dollars","Nominal"
2024,403.65055,"MO","Total Personal Income","Billion Dollars","Nominal"
1948,0.887625,"MT","Total Personal Income","Billion Dollars","Nominal"
1949,0.8153,"MT","Total Personal Income","Billion Dollars","Nominal"
1950,0.995325,"MT","Total Personal Income","Billion Dollars","Nominal"
1951,1.092825,"MT","Total Personal Income","Billion Dollars","Nominal"
1952,1.11695,"MT","Total Personal Income","Billion Dollars","Nominal"
1953,1.134875,"MT","Total Personal Income","Billion Dollars","Nominal"
1954,1.127575,"MT","Total Personal Income","Billion Dollars","Nominal"
1955,1.2302,"MT","Total Personal Income","Billion Dollars","Nominal"
1956,1.293,"MT","Total Personal Income","Billion Dollars","Nominal"
1957,1.3567,"MT","Total Personal Income","Billion Dollars","Nominal"
1958,1.414325,"MT","Total Personal Income","Billion Dollars","Nominal"
1959,1.392375,"MT","Total Personal Income","Billion Dollars","Nominal"
1960,1.45135,"MT","Total Personal Income","Billion Dollars","Nominal"
1961,1.4546,"MT","Total Personal Income","Billion Dollars","Nominal"
1962,1.701325,"MT","Total Personal Income","Billion Dollars","Nominal"
1963,1.691575,"MT","Total Personal Income","Billion Dollars","Nominal"
1964,1.7275,"MT","Total Personal Income","Billion Dollars","Nominal"
1965,1.856325,"MT","Total Personal Income","Billion Dollars","Nominal"
1966,1.9895,"MT","Total Personal Income","Billion Dollars","Nominal"
1967,2.0291,"MT","Total Personal Income","Billion Dollars","Nominal"
1968,2.12835,"MT","Total Personal Income","Billion Dollars","Nominal"
1969,2.3505,"MT","Total Personal Income","Billion Dollars","Nominal"
1970,2.6042,"MT","Total Personal Income","Billion Dollars","Nominal"
1971,2.787275,"MT","Total Personal Income","Billion Dollars","Nominal"
1972,3.23025,"MT","Total Personal Income","Billion Dollars","Nominal"
1973,3.745225,"MT","Total Personal Income","Billion Dollars","Nominal"
1974,4.069925,"MT","Total Personal Income","Billion Dollars","Nominal"
1975,4.478725,"MT","Total Personal Income","Billion Dollars","Nominal"
1976,4.806475,"MT","Total Personal Income","Billion Dollars","Nominal"
1977,5.1979,"MT","Total Personal Income","Billion Dollars","Nominal"
1978,6.09055,"MT","Total Personal Income","Billion Dollars","Nominal"
1979,6.549425,"MT","Total Personal Income","Billion Dollars","Nominal"
1980,7.2157,"MT","Total Personal Income","Billion Dollars","Nominal"
1981,8.1944,"MT","Total Personal Income","Billion Dollars","Nominal"
1982,8.632575,"MT","Total Personal Income","Billion Dollars","Nominal"
1983,9.0823,"MT","Total Personal Income","Billion Dollars","Nominal"
1984,9.593975,"MT","Total Personal Income","Billion Dollars","Nominal"
1985,9.73595,"MT","Total Personal Income","Billion Dollars","Nominal"
1986,10.12285,"MT","Total Personal Income","Billion Dollars","Nominal"
1987,10.355075,"MT","Total Personal Income","Billion Dollars","Nominal"
1988,10.67975,"MT","Total Personal Income","Billion Dollars","Nominal"
1989,11.7636,"MT","Total Personal Income","Billion Dollars","Nominal"
1990,12.3792,"MT","Total Personal Income","Billion Dollars","Nominal"
1991,13.216625,"MT","Total Personal Income","Billion Dollars","Nominal"
1992,14.00925,"MT","Total Personal Income","Billion Dollars","Nominal"
1993,15.15405,"MT","Total Personal Income","Billion Dollars","Nominal"
1994,15.574375,"MT","Total Personal Income","Billion Dollars","Nominal"
1995,16.400025,"MT","Total Personal Income","Billion Dollars","Nominal"
1996,17.173675,"MT","Total Personal Income","Billion Dollars","Nominal"
1997,17.910225,"MT","Total Personal Income","Billion Dollars","Nominal"
1998,19.125725,"MT","Total Personal Income","Billion Dollars","Nominal"
1999,19.4969,"MT","Total Personal Income","Billion Dollars","Nominal"
2000,20.77055,"MT","Total Personal Income","Billion Dollars","Nominal"
2001,21.685225,"MT","Total Personal Income","Billion Dollars","Nominal"
2002,22.350275,"MT","Total Personal Income","Billion Dollars","Nominal"
2003,24.015175,"MT","Total Personal Income","Billion Dollars","Nominal"
2004,26.072175,"MT","Total Personal Income","Billion Dollars","Nominal"
2005,28.05205,"MT","Total Personal Income","Billion Dollars","Nominal"
2006,30.3627,"MT","Total Personal Income","Billion Dollars","Nominal"
2007,32.646825,"MT","Total Personal Income","Billion Dollars","Nominal"
2008,34.73055,"MT","Total Personal Income","Billion Dollars","Nominal"
2009,33.926625,"MT","Total Personal Income","Billion Dollars","Nominal"
2010,35.670875,"MT","Total Personal Income","Billion Dollars","Nominal"
2011,38.0827,"MT","Total Personal Income","Billion Dollars","Nominal"
2012,40.436875,"MT","Total Personal Income","Billion Dollars","Nominal"
2013,40.785975,"MT","Total Personal Income","Billion Dollars","Nominal"
2014,42.90145,"MT","Total Personal Income","Billion Dollars","Nominal"
2015,44.583325,"MT","Total Personal Income","Billion Dollars","Nominal"
2016,45.2833,"MT","Total Personal Income","Billion Dollars","Nominal"
2017,48.003325,"MT","Total Personal Income","Billion Dollars","Nominal"
2018,50.352025,"MT","Total Personal Income","Billion Dollars","Nominal"
2019,53.4023,"MT","Total Personal Income","Billion Dollars","Nominal"
2020,58.15305,"MT","Total Personal Income","Billion Dollars","Nominal"
2021,65.2544,"MT","Total Personal Income","Billion Dollars","Nominal"
2022,69.1324,"MT","Total Personal Income","Billion Dollars","Nominal"
2023,73.61995,"MT","Total Personal Income","Billion Dollars","Nominal"
2024,76.48855,"MT","Total Personal Income","Billion Dollars","Nominal"
1948,1.95505,"NE","Total Personal Income","Billion Dollars","Nominal"
1949,1.7716,"NE","Total Personal Income","Billion Dollars","Nominal"
1950,2.100725,"NE","Total Personal Income","Billion Dollars","Nominal"
1951,2.1935,"NE","Total Personal Income","Billion Dollars","Nominal"
1952,2.355775,"NE","Total Personal Income","Billion Dollars","Nominal"
1953,2.246975,"NE","Total Personal Income","Billion Dollars","Nominal"
1954,2.403,"NE","Total Personal Income","Billion Dollars","Nominal"
1955,2.32615,"NE","Total Personal Income","Billion Dollars","Nominal"
1956,2.399525,"NE","Total Personal Income","Billion Dollars","Nominal"
1957,2.7826,"NE","Total Personal Income","Billion Dollars","Nominal"
1958,2.914825,"NE","Total Personal Income","Billion Dollars","Nominal"
1959,2.950025,"NE","Total Personal Income","Billion Dollars","Nominal"
1960,3.1403,"NE","Total Personal Income","Billion Dollars","Nominal"
1961,3.214325,"NE","Total Personal Income","Billion Dollars","Nominal"
1962,3.493475,"NE","Total Personal Income","Billion Dollars","Nominal"
1963,3.591025,"NE","Total Personal Income","Billion Dollars","Nominal"
1964,3.6914,"NE","Total Personal Income","Billion Dollars","Nominal"
1965,4.0609,"NE","Total Personal Income","Billion Dollars","Nominal"
1966,4.36025,"NE","Total Personal Income","Billion Dollars","Nominal"
1967,4.51275,"NE","Total Personal Income","Billion Dollars","Nominal"
1968,4.815325,"NE","Total Personal Income","Billion Dollars","Nominal"
1969,5.3793,"NE","Total Personal Income","Billion Dollars","Nominal"
1970,5.798375,"NE","Total Personal Income","Billion Dollars","Nominal"
1971,6.3688,"NE","Total Personal Income","Billion Dollars","Nominal"
1972,7.052475,"NE","Total Personal Income","Billion Dollars","Nominal"
1973,8.22575,"NE","Total Personal Income","Billion Dollars","Nominal"
1974,8.565075,"NE","Total Personal Income","Billion Dollars","Nominal"
1975,9.76645,"NE","Total Personal Income","Billion Dollars","Nominal"
1976,10.217425,"NE","Total Personal Income","Billion Dollars","Nominal"
1977,11.073075,"NE","Total Personal Income","Billion Dollars","Nominal"
1978,12.810875,"NE","Total Personal Income","Billion Dollars","Nominal"
1979,13.835,"NE","Total Personal Income","Billion Dollars","Nominal"
1980,14.766425,"NE","Total Personal Income","Billion Dollars","Nominal"
1981,17.139125,"NE","Total Personal Income","Billion Dollars","Nominal"
1982,18.416025,"NE","Total Personal Income","Billion Dollars","Nominal"
1983,19.059925,"NE","Total Personal Income","Billion Dollars","Nominal"
1984,21.198975,"NE","Total Personal Income","Billion Dollars","Nominal"
1985,22.345025,"NE","Total Personal Income","Billion Dollars","Nominal"
1986,22.9953,"NE","Total Personal Income","Billion Dollars","Nominal"
1987,23.97965,"NE","Total Personal Income","Billion Dollars","Nominal"
1988,25.708425,"NE","Total Personal Income","Billion Dollars","Nominal"
1989,27.277125,"NE","Total Personal Income","Billion Dollars","Nominal"
1990,29.237925,"NE","Total Personal Income","Billion Dollars","Nominal"
1991,30.34405,"NE","Total Personal Income","Billion Dollars","Nominal"
1992,32.191225,"NE","Total Personal Income","Billion Dollars","Nominal"
1993,33.258825,"NE","Total Personal Income","Billion Dollars","Nominal"
1994,35.389625,"NE","Total Personal Income","Billion Dollars","Nominal"
1995,37.383275,"NE","Total Personal Income","Billion Dollars","Nominal"
1996,40.7068,"NE","Total Personal Income","Billion Dollars","Nominal"
1997,41.958225,"NE","Total Personal Income","Billion Dollars","Nominal"
1998,44.746975,"NE","Total Personal Income","Billion Dollars","Nominal"
1999,46.824425,"NE","Total Personal Income","Billion Dollars","Nominal"
2000,49.570275,"NE","Total Personal Income","Billion Dollars","Nominal"
2001,51.911775,"NE","Total Personal Income","Billion Dollars","Nominal"
2002,52.804275,"NE","Total Personal Income","Billion Dollars","Nominal"
2003,56.10215,"NE","Total Personal Income","Billion Dollars","Nominal"
2004,58.5972,"NE","Total Personal Income","Billion Dollars","Nominal"
2005,60.5981,"NE","Total Personal Income","Billion Dollars","Nominal"
2006,63.317175,"NE","Total Personal Income","Billion Dollars","Nominal"
2007,68.09865,"NE","Total Personal Income","Billion Dollars","Nominal"
2008,72.377325,"NE","Total Personal Income","Billion Dollars","Nominal"
2009,71.459675,"NE","Total Personal Income","Billion Dollars","Nominal"
2010,75.194075,"NE","Total Personal Income","Billion Dollars","Nominal"
2011,84.09615,"NE","Total Personal Income","Billion Dollars","Nominal"
2012,86.235825,"NE","Total Personal Income","Billion Dollars","Nominal"
2013,86.02215,"NE","Total Personal Income","Billion Dollars","Nominal"
2014,91.08445,"NE","Total Personal Income","Billion Dollars","Nominal"
2015,94.681725,"NE","Total Personal Income","Billion Dollars","Nominal"
2016,93.559675,"NE","Total Personal Income","Billion Dollars","Nominal"
2017,95.8237,"NE","Total Personal Income","Billion Dollars","Nominal"
2018,100.067725,"NE","Total Personal Income","Billion Dollars","Nominal"
2019,104.615925,"NE","Total Personal Income","Billion Dollars","Nominal"
2020,111.413175,"NE","Total Personal Income","Billion Dollars","Nominal"
2021,124.781025,"NE","Total Personal Income","Billion Dollars","Nominal"
2022,131.9888,"NE","Total Personal Income","Billion Dollars","Nominal"
2023,141.150975,"NE","Total Personal Income","Billion Dollars","Nominal"
2024,143.7373,"NE","Total Personal Income","Billion Dollars","Nominal"
1948,0.282575,"NV","Total Personal Income","Billion Dollars","Nominal"
1949,0.2932,"NV","Total Personal Income","Billion Dollars","Nominal"
1950,0.338425,"NV","Total Personal Income","Billion Dollars","Nominal"
1951,0.388875,"NV","Total Personal Income","Billion Dollars","Nominal"
1952,0.45475,"NV","Total Personal Income","Billion Dollars","Nominal"
1953,0.501975,"NV","Total Personal Income","Billion Dollars","Nominal"
1954,0.5414,"NV","Total Personal Income","Billion Dollars","Nominal"
1955,0.62975,"NV","Total Personal Income","Billion Dollars","Nominal"
1956,0.658575,"NV","Total Personal Income","Billion Dollars","Nominal"
1957,0.707,"NV","Total Personal Income","Billion Dollars","Nominal"
1958,0.7477,"NV","Total Personal Income","Billion Dollars","Nominal"
1959,0.81805,"NV","Total Personal Income","Billion Dollars","Nominal"
1960,0.89605,"NV","Total Personal Income","Billion Dollars","Nominal"
1961,0.993125,"NV","Total Personal Income","Billion Dollars","Nominal"
1962,1.18585,"NV","Total Personal Income","Billion Dollars","Nominal"
1963,1.329975,"NV","Total Personal Income","Billion Dollars","Nominal"
1964,1.443125,"NV","Total Personal Income","Billion Dollars","Nominal"
1965,1.545,"NV","Total Personal Income","Billion Dollars","Nominal"
1966,1.630375,"NV","Total Personal Income","Billion Dollars","Nominal"
1967,1.7318,"NV","Total Personal Income","Billion Dollars","Nominal"
1968,2.0136,"NV","Total Personal Income","Billion Dollars","Nominal"
1969,2.278625,"NV","Total Personal Income","Billion Dollars","Nominal"
1970,2.560425,"NV","Total Personal Income","Billion Dollars","Nominal"
1971,2.860375,"NV","Total Personal Income","Billion Dollars","Nominal"
1972,3.196775,"NV","Total Personal Income","Billion Dollars","Nominal"
1973,3.630075,"NV","Total Personal Income","Billion Dollars","Nominal"
1974,4.02525,"NV","Total Personal Income","Billion Dollars","Nominal"
1975,4.543975,"NV","Total Personal Income","Billion Dollars","Nominal"
1976,5.17045,"NV","Total Personal Income","Billion Dollars","Nominal"
1977,5.9779,"NV","Total Personal Income","Billion Dollars","Nominal"
1978,7.22575,"NV","Total Personal Income","Billion Dollars","Nominal"
1979,8.372025,"NV","Total Personal Income","Billion Dollars","Nominal"
1980,9.681425,"NV","Total Personal Income","Billion Dollars","Nominal"
1981,10.9982,"NV","Total Personal Income","Billion Dollars","Nominal"
1982,11.7527,"NV","Total Personal Income","Billion Dollars","Nominal"
1983,12.53075,"NV","Total Personal Income","Billion Dollars","Nominal"
1984,13.6343,"NV","Total Personal Income","Billion Dollars","Nominal"
1985,14.79125,"NV","Total Personal Income","Billion Dollars","Nominal"
1986,15.97915,"NV","Total Personal Income","Billion Dollars","Nominal"
1987,17.407,"NV","Total Personal Income","Billion Dollars","Nominal"
1988,19.826275,"NV","Total Personal Income","Billion Dollars","Nominal"
1989,22.328925,"NV","Total Personal Income","Billion Dollars","Nominal"
1990,25.039225,"NV","Total Personal Income","Billion Dollars","Nominal"
1991,27.543575,"NV","Total Personal Income","Billion Dollars","Nominal"
1992,30.45985,"NV","Total Personal Income","Billion Dollars","Nominal"
1993,32.932925,"NV","Total Personal Income","Billion Dollars","Nominal"
1994,36.4423,"NV","Total Personal Income","Billion Dollars","Nominal"
1995,40.075475,"NV","Total Personal Income","Billion Dollars","Nominal"
1996,44.336725,"NV","Total Personal Income","Billion Dollars","Nominal"
1997,48.450175,"NV","Total Personal Income","Billion Dollars","Nominal"
1998,54.21725,"NV","Total Personal Income","Billion Dollars","Nominal"
1999,58.623625,"NV","Total Personal Income","Billion Dollars","Nominal"
2000,64.3126,"NV","Total Personal Income","Billion Dollars","Nominal"
2001,68.02675,"NV","Total Personal Income","Billion Dollars","Nominal"
2002,69.952725,"NV","Total Personal Income","Billion Dollars","Nominal"
2003,74.5184,"NV","Total Personal Income","Billion Dollars","Nominal"
2004,82.5247,"NV","Total Personal Income","Billion Dollars","Nominal"
2005,92.19415,"NV","Total Personal Income","Billion Dollars","Nominal"
2006,99.4851,"NV","Total Personal Income","Billion Dollars","Nominal"
2007,103.705975,"NV","Total Personal Income","Billion Dollars","Nominal"
2008,102.53585,"NV","Total Personal Income","Billion Dollars","Nominal"
2009,96.98275,"NV","Total Personal Income","Billion Dollars","Nominal"
2010,100.7504,"NV","Total Personal Income","Billion Dollars","Nominal"
2011,104.596425,"NV","Total Personal Income","Billion Dollars","Nominal"
2012,108.69615,"NV","Total Personal Income","Billion Dollars","Nominal"
2013,108.914375,"NV","Total Personal Income","Billion Dollars","Nominal"
2014,115.514125,"NV","Total Personal Income","Billion Dollars","Nominal"
2015,125.088625,"NV","Total Personal Income","Billion Dollars","Nominal"
2016,129.879175,"NV","Total Personal Income","Billion Dollars","Nominal"
2017,138.846975,"NV","Total Personal Income","Billion Dollars","Nominal"
2018,148.408125,"NV","Total Personal Income","Billion Dollars","Nominal"
2019,159.392975,"NV","Total Personal Income","Billion Dollars","Nominal"
2020,170.360825,"NV","Total Personal Income","Billion Dollars","Nominal"
2021,191.32975,"NV","Total Personal Income","Billion Dollars","Nominal"
2022,198.4851,"NV","Total Personal Income","Billion Dollars","Nominal"
2023,211.57545,"NV","Total Personal Income","Billion Dollars","Nominal"
2024,222.86785,"NV","Total Personal Income","Billion Dollars","Nominal"
1948,0.682225,"NH","Total Personal Income","Billion Dollars","Nominal"
1949,0.69115,"NH","Total Personal Income","Billion Dollars","Nominal"
1950,0.730425,"NH","Total Personal Income","Billion Dollars","Nominal"
1951,0.81375,"NH","Total Personal Income","Billion Dollars","Nominal"
1952,0.86245,"NH","Total Personal Income","Billion Dollars","Nominal"
1953,0.9255,"NH","Total Personal Income","Billion Dollars","Nominal"
1954,0.9675,"NH","Total Personal Income","Billion Dollars","Nominal"
1955,1.04125,"NH","Total Personal Income","Billion Dollars","Nominal"
1956,1.104225,"NH","Total Personal Income","Billion Dollars","Nominal"
1957,1.181325,"NH","Total Personal Income","Billion Dollars","Nominal"
1958,1.203225,"NH","Total Personal Income","Billion Dollars","Nominal"
1959,1.309875,"NH","Total Personal Income","Billion Dollars","Nominal"
1960,1.382875,"NH","Total Personal Income","Billion Dollars","Nominal"
1961,1.45615,"NH","Total Personal Income","Billion Dollars","Nominal"
1962,1.55695,"NH","Total Personal Income","Billion Dollars","Nominal"
1963,1.62465,"NH","Total Personal Income","Billion Dollars","Nominal"
1964,1.74695,"NH","Total Personal Income","Billion Dollars","Nominal"
1965,1.883825,"NH","Total Personal Income","Billion Dollars","Nominal"
1966,2.064025,"NH","Total Personal Income","Billion Dollars","Nominal"
1967,2.2548,"NH","Total Personal Income","Billion Dollars","Nominal"
1968,2.49095,"NH","Total Personal Income","Billion Dollars","Nominal"
1969,2.781325,"NH","Total Personal Income","Billion Dollars","Nominal"
1970,2.965675,"NH","Total Personal Income","Billion Dollars","Nominal"
1971,3.220125,"NH","Total Personal Income","Billion Dollars","Nominal"
1972,3.561975,"NH","Total Personal Income","Billion Dollars","Nominal"
1973,4.013325,"NH","Total Personal Income","Billion Dollars","Nominal"
1974,4.417175,"NH","Total Personal Income","Billion Dollars","Nominal"
1975,4.802325,"NH","Total Personal Income","Billion Dollars","Nominal"
1976,5.435975,"NH","Total Personal Income","Billion Dollars","Nominal"
1977,6.146425,"NH","Total Personal Income","Billion Dollars","Nominal"
1978,7.09075,"NH","Total Personal Income","Billion Dollars","Nominal"
1979,8.11245,"NH","Total Personal Income","Billion Dollars","Nominal"
1980,9.281875,"NH","Total Personal Income","Billion Dollars","Nominal"
1981,10.5058,"NH","Total Personal Income","Billion Dollars","Nominal"
1982,11.5616,"NH","Total Personal Income","Billion Dollars","Nominal"
1983,12.714425,"NH","Total Personal Income","Billion Dollars","Nominal"
1984,14.352925,"NH","Total Personal Income","Billion Dollars","Nominal"
1985,15.831,"NH","Total Personal Income","Billion Dollars","Nominal"
1986,17.499725,"NH","Total Personal Income","Billion Dollars","Nominal"
1987,19.284775,"NH","Total Personal Income","Billion Dollars","Nominal"
1988,21.30745,"NH","Total Personal Income","Billion Dollars","Nominal"
1989,22.8253,"NH","Total Personal Income","Billion Dollars","Nominal"
1990,23.005,"NH","Total Personal Income","Billion Dollars","Nominal"
1991,23.818175,"NH","Total Personal Income","Billion Dollars","Nominal"
1992,24.9519,"NH","Total Personal Income","Billion Dollars","Nominal"
1993,25.765175,"NH","Total Personal Income","Billion Dollars","Nominal"
1994,27.503125,"NH","Total Personal Income","Billion Dollars","Nominal"
1995,29.17595,"NH","Total Personal Income","Billion Dollars","Nominal"
1996,30.892575,"NH","Total Personal Income","Billion Dollars","Nominal"
1997,33.28615,"NH","Total Personal Income","Billion Dollars","Nominal"
1998,36.597475,"NH","Total Personal Income","Billion Dollars","Nominal"
1999,38.9302,"NH","Total Personal Income","Billion Dollars","Nominal"
2000,43.796125,"NH","Total Personal Income","Billion Dollars","Nominal"
2001,46.179925,"NH","Total Personal Income","Billion Dollars","Nominal"
2002,46.9723,"NH","Total Personal Income","Billion Dollars","Nominal"
2003,47.832975,"NH","Total Personal Income","Billion Dollars","Nominal"
2004,50.733,"NH","Total Personal Income","Billion Dollars","Nominal"
2005,52.464325,"NH","Total Personal Income","Billion Dollars","Nominal"
2006,56.084875,"NH","Total Personal Income","Billion Dollars","Nominal"
2007,58.305525,"NH","Total Personal Income","Billion Dollars","Nominal"
2008,60.153775,"NH","Total Personal Income","Billion Dollars","Nominal"
2009,59.381525,"NH","Total Personal Income","Billion Dollars","Nominal"
2010,61.8809,"NH","Total Personal Income","Billion Dollars","Nominal"
2011,64.888975,"NH","Total Personal Income","Billion Dollars","Nominal"
2012,67.31805,"NH","Total Personal Income","Billion Dollars","Nominal"
2013,67.121775,"NH","Total Personal Income","Billion Dollars","Nominal"
2014,69.630475,"NH","Total Personal Income","Billion Dollars","Nominal"
2015,72.779575,"NH","Total Personal Income","Billion Dollars","Nominal"
2016,75.228975,"NH","Total Personal Income","Billion Dollars","Nominal"
2017,78.66095,"NH","Total Personal Income","Billion Dollars","Nominal"
2018,82.353725,"NH","Total Personal Income","Billion Dollars","Nominal"
2019,87.724125,"NH","Total Personal Income","Billion Dollars","Nominal"
2020,93.113925,"NH","Total Personal Income","Billion Dollars","Nominal"
2021,102.233525,"NH","Total Personal Income","Billion Dollars","Nominal"
2022,104.683625,"NH","Total Personal Income","Billion Dollars","Nominal"
2023,110.6837,"NH","Total Personal Income","Billion Dollars","Nominal"
2024,116.6044,"NH","Total Personal Income","Billion Dollars","Nominal"
1948,7.9602,"NJ","Total Personal Income","Billion Dollars","Nominal"
1949,8.014225,"NJ","Total Personal Income","Billion Dollars","Nominal"
1950,8.866325,"NJ","Total Personal Income","Billion Dollars","Nominal"
1951,10.131725,"NJ","Total Personal Income","Billion Dollars","Nominal"
1952,10.985775,"NJ","Total Personal Income","Billion Dollars","Nominal"
1953,11.828775,"NJ","Total Personal Income","Billion Dollars","Nominal"
1954,12.04015,"NJ","Total Personal Income","Billion Dollars","Nominal"
1955,12.7732,"NJ","Total Personal Income","Billion Dollars","Nominal"
1956,13.8635,"NJ","Total Personal Income","Billion Dollars","Nominal"
1957,14.771575,"NJ","Total Personal Income","Billion Dollars","Nominal"
1958,14.60875,"NJ","Total Personal Income","Billion Dollars","Nominal"
1959,15.70815,"NJ","Total Personal Income","Billion Dollars","Nominal"
1960,16.5529,"NJ","Total Personal Income","Billion Dollars","Nominal"
1961,17.395675,"NJ","Total Personal Income","Billion Dollars","Nominal"
1962,18.718575,"NJ","Total Personal Income","Billion Dollars","Nominal"
1963,19.646825,"NJ","Total Personal Income","Billion Dollars","Nominal"
1964,21.063725,"NJ","Total Personal Income","Billion Dollars","Nominal"
1965,22.62915,"NJ","Total Personal Income","Billion Dollars","Nominal"
1966,24.502925,"NJ","Total Personal Income","Billion Dollars","Nominal"
1967,26.394,"NJ","Total Personal Income","Billion Dollars","Nominal"
1968,28.96695,"NJ","Total Personal Income","Billion Dollars","Nominal"
1969,32.50415,"NJ","Total Personal Income","Billion Dollars","Nominal"
1970,35.2945,"NJ","Total Personal Income","Billion Dollars","Nominal"
1971,38.07815,"NJ","Total Personal Income","Billion Dollars","Nominal"
1972,41.394925,"NJ","Total Personal Income","Billion Dollars","Nominal"
1973,45.063175,"NJ","Total Personal Income","Billion Dollars","Nominal"
1974,48.94515,"NJ","Total Personal Income","Billion Dollars","Nominal"
1975,52.8777,"NJ","Total Personal Income","Billion Dollars","Nominal"
1976,57.4089,"NJ","Total Personal Income","Billion Dollars","Nominal"
1977,62.80215,"NJ","Total Personal Income","Billion Dollars","Nominal"
1978,69.6991,"NJ","Total Personal Income","Billion Dollars","Nominal"
1979,77.369,"NJ","Total Personal Income","Billion Dollars","Nominal"
1980,87.0845,"NJ","Total Personal Income","Billion Dollars","Nominal"
1981,97.1684,"NJ","Total Personal Income","Billion Dollars","Nominal"
1982,104.981,"NJ","Total Personal Income","Billion Dollars","Nominal"
1983,113.460825,"NJ","Total Personal Income","Billion Dollars","Nominal"
1984,125.38545,"NJ","Total Personal Income","Billion Dollars","Nominal"
1985,134.48495,"NJ","Total Personal Income","Billion Dollars","Nominal"
1986,143.99065,"NJ","Total Personal Income","Billion Dollars","Nominal"
1987,154.710525,"NJ","Total Personal Income","Billion Dollars","Nominal"
1988,170.4809,"NJ","Total Personal Income","Billion Dollars","Nominal"
1989,182.884125,"NJ","Total Personal Income","Billion Dollars","Nominal"
1990,192.17085,"NJ","Total Personal Income","Billion Dollars","Nominal"
1991,196.169675,"NJ","Total Personal Income","Billion Dollars","Nominal"
1992,210.39855,"NJ","Total Personal Income","Billion Dollars","Nominal"
1993,217.404075,"NJ","Total Personal Income","Billion Dollars","Nominal"
1994,225.0669,"NJ","Total Personal Income","Billion Dollars","Nominal"
1995,238.9019,"NJ","Total Personal Income","Billion Dollars","Nominal"
1996,252.6307,"NJ","Total Personal Income","Billion Dollars","Nominal"
1997,268.7934,"NJ","Total Personal Income","Billion Dollars","Nominal"
1998,286.580225,"NJ","Total Personal Income","Billion Dollars","Nominal"
1999,299.723875,"NJ","Total Personal Income","Billion Dollars","Nominal"
2000,329.591775,"NJ","Total Personal Income","Billion Dollars","Nominal"
2001,341.308925,"NJ","Total Personal Income","Billion Dollars","Nominal"
2002,345.9887,"NJ","Total Personal Income","Billion Dollars","Nominal"
2003,354.0977,"NJ","Total Personal Income","Billion Dollars","Nominal"
2004,369.7709,"NJ","Total Personal Income","Billion Dollars","Nominal"
